Date,WL,PF,Opponent,PA,Location,Notes,Year,Team,offName,Home,Week
8/30/14,W,48,Troy (AL),10,"Birmingham, AL",,2014,Alabama-Birmingham,The University of Alabama at Birmingham,1,1
8/30/14,W,31,New Mexico,24,"El Paso, TX",,2014,Texas-El Paso,University of Texas-El Paso,0,1
8/30/14,L,17,Ohio St.,34,"Annapolis, MD",,2014,Navy (MD),United States Naval Academy,1,1
8/30/14,W,48,Rice (TX),17,"South Bend, IN",,2014,Notre Dame (IN),University of Notre Dame,1,1
8/30/14,W,30,Colgate (NY),10,"Muncie, IN",,2014,Ball St. (IN),Ball State University,1,1
8/30/14,W,38,Duquesne (PA),28,"Buffalo, NY",,2014,Buffalo (NY),State University of New York at Buffalo,1,1
8/30/14,W,31,Morgan St. (MD),28,"Ypsilanti, MI",,2014,Eastern Michigan,Eastern Michigan University,1,1
8/30/14,L,14,Ohio,17,"Kent, OH",,2014,Kent St. (OH),Kent State University,1,1
8/30/14,L,7,Boston College (MA),30,"Foxboro, MA",,2014,Massachusetts,University of Massachusetts Amherst,1,1
8/30/14,L,27,Marshall (WV),42,"Oxford, OH",,2014,Miami (OH),Miami University: Oxford Campus,1,1
8/30/14,W,17,Kent St. (OH),14,"Athens, OH",,2014,Ohio,Ohio University,0,1
8/30/14,W,54,New Hampshire,20,"Toledo, OH",,2014,Toledo (OH),University of Toledo,1,1
8/30/14,L,34,Purdue (IN),43,"Kalamazoo, MI",,2014,Western Michigan,Western Michigan University,0,1
8/30/14,W,44,Nicholls St. (LA),16,"Air Force Academy, CO",,2014,Air Force (CO),United States Air Force Academy,1,1
8/30/14,L,13,Southern California,52,"Fresno, CA",,2014,Fresno St. (CA),California State University: Fresno,0,1
8/30/14,L,16,Washington,17,"Honolulu, HI",,2014,Hawaii,University of Hawaii at Manoa,1,1
8/30/14,W,28,Southern Utah,19,"Reno, NV",,2014,Nevada,University of Nevada: Reno,1,1
8/30/14,L,24,Texas-El Paso,31,"Albuquerque, NM",,2014,New Mexico,University of New Mexico,1,1
8/30/14,W,38,Northern Arizona,7,"San Diego, CA",,2014,San Diego St. (CA),San Diego State University,1,1
8/30/14,W,17,Montana,12,"Laramie, WY",,2014,Wyoming,University of Wyoming,1,1
8/30/14,W,31,Northwestern (IL),24,"Berkeley, CA",,2014,California,University of California: Berkeley,0,1
8/30/14,W,62,South Dakota,13,"Eugene, OR",,2014,Oregon,University of Oregon,1,1
8/30/14,W,29,Portland St. (OR),14,"Corvallis, OR",,2014,Oregon St.,Oregon State University,1,1
8/30/14,W,45,California-Davis,0,"Stanford, CA",,2014,Stanford (CA),Stanford University,1,1
8/30/14,W,28,Virginia,20,"Pasadena, CA",,2014,UCLA,University of California: Los Angeles,0,1
8/30/14,W,52,Fresno St. (CA),13,"Los Angeles, CA",,2014,Southern California,University of Southern California,1,1
8/30/14,W,17,Hawaii,16,"Seattle, WA",,2014,Washington,University of Washington,0,1
8/30/14,W,33,West Virginia,23,"Tuscaloosa, AL",,2014,Alabama,The University of Alabama,1,1
8/30/14,L,21,Auburn (AL),45,"Fayetteville, AR",,2014,Arkansas,University of Arkansas,0,1
8/30/14,W,45,Arkansas,21,"Auburn, AL",,2014,Auburn (AL),Auburn University,1,1
8/30/14,W,45,Clemson (SC),21,"Athens, GA",,2014,Georgia,University of Georgia,1,1
8/30/14,W,59,Tennessee-Martin,14,"Lexington, KY",,2014,Kentucky,University of Kentucky,1,1
8/30/14,W,28,Wisconsin,24,"Baton Rouge, LA",,2014,Louisiana St.,Louisiana State University and Agricultural and Mechanical College,1,1
8/30/14,W,49,Southern Mississippi,0,"Starkville, MS",,2014,Mississippi St.,Mississippi State University,1,1
8/30/14,W,38,South Dakota St.,18,"Columbia, MO",,2014,Missouri,University of Missouri: Columbia,1,1
8/30/14,L,14,Michigan,52,"Boone, NC",,2014,Appalachian State (NC),Appalachian State University,0,1
8/30/14,W,37,Montana St.,10,"Jonesboro, AR",,2014,Arkansas St.,Arkansas State University,1,1
8/30/14,L,23,North Carolina St.,24,"Statesboro, GA",,2014,Georgia Southern,Georgia Southern University,0,1
8/30/14,W,45,Southern (LA),6,"Lafayette, LA",,2014,Louisiana-Lafayette,University of Louisiana at Lafayette,1,1
8/30/14,W,65,Arkansas-Pine Bluff,0,"San Marcos, TX",,2014,Texas St.,Texas State University-San Marcos,1,1
8/30/14,L,10,Alabama-Birmingham,48,"Troy, AL",,2014,Troy (AL),Troy University,0,1
8/30/14,L,12,Wyoming,17,"Missoula, MT",,2014,Montana,University of Montana-Missoula,0,1
8/30/14,L,10,Arkansas St.,37,"Bozeman, MT",,2014,Montana St.,Montana State University: Bozeman,0,1
8/30/14,L,7,San Diego St. (CA),38,"Flagstaff, AZ",,2014,Northern Arizona,Northern Arizona University,0,1
