WL,Date,PF,Opponent,PA,Location,Notes,Year,Team,offName,Home
W,2010-10-23,59,Colorado St.,6,"Salt Lake City, UT",,2010,Utah,University of Utah,1
W,2010-10-30,28,Air Force (CO),23,"Salt Lake City, UT",,2010,Utah,University of Utah,0
L,2010-11-06,7,Texas Christian,47,"Salt Lake City, UT",,2010,Utah,University of Utah,1
L,2010-11-13,3,Notre Dame (IN),28,"Salt Lake City, UT",,2010,Utah,University of Utah,0
W,2010-11-20,38,San Diego St. (CA),34,"Salt Lake City, UT",,2010,Utah,University of Utah,0
W,2010-11-27,17,Brigham Young (UT),16,"Salt Lake City, UT",,2010,Utah,University of Utah,1
L,2010-12-22,3,Boise St. (ID),26,"Salt Lake City, UT",,2010,Utah,University of Utah,1
L,2011-12-30,21,Brigham Young (UT),24,"Tulsa, OK",,2011,Tulsa (OK),University of Tulsa,1
L,2011-09-23,17,Brigham Young (UT),24,"Orlando, FL",,2011,Central Florida,University of Central Florida,0
L,2011-12-31,27,Utah,30,"Atlanta, GA",,2011,Georgia Tech,Georgia Institute of Technology,1
L,2011-10-15,14,Utah,26,"Pittsburgh, PA",,2011,Pittsburgh (PA),University of Pittsburgh,1
W,2011-09-10,17,Brigham Young (UT),16,"Austin, TX",,2011,Texas,The University of Texas at Austin,1
W,2011-10-28,38,Brigham Young (UT),28,"Fort Worth, TX",,2011,Texas Christian,Texas Christian University,1
W,2011-09-03,14,Mississippi,13,"Provo, UT",,2011,Brigham Young (UT),Brigham Young University,0
L,2011-09-10,16,Texas,17,"Provo, UT",,2011,Brigham Young (UT),Brigham Young University,0
L,2011-09-17,10,Utah,54,"Provo, UT",,2011,Brigham Young (UT),Brigham Young University,1
W,2011-09-30,27,Utah St.,24,"Provo, UT",,2011,Brigham Young (UT),Brigham Young University,1
W,2011-10-08,29,San Jose St. (CA),16,"Provo, UT",,2011,Brigham Young (UT),Brigham Young University,1
W,2011-10-15,38,Oregon St.,28,"Provo, UT",,2011,Brigham Young (UT),Brigham Young University,0
W,2011-10-22,56,Idaho St.,3,"Provo, UT",,2011,Brigham Young (UT),Brigham Young University,1
L,2011-10-28,28,Texas Christian,38,"Provo, UT",,2011,Brigham Young (UT),Brigham Young University,1
W,2011-11-12,42,Idaho,7,"Provo, UT",,2011,Brigham Young (UT),Brigham Young University,1
W,2011-11-19,42,New Mexico St.,7,"Provo, UT",,2011,Brigham Young (UT),Brigham Young University,1
W,2011-12-03,41,Hawaii,20,"Provo, UT",,2011,Brigham Young (UT),Brigham Young University,0
W,2011-12-30,24,Tulsa (OK),21,"Provo, UT",,2011,Brigham Young (UT),Brigham Young University,1
L,2011-11-19,7,Brigham Young (UT),42,"Las Cruces, NM",,2011,New Mexico St.,New Mexico State University,0
L,2011-09-30,24,Brigham Young (UT),27,"Logan, UT",,2011,Utah St.,Utah State University,0
