"","Team","Opponent","ScoreOff","ScoreDef","TotYardsOff","TotPlaysOff","YdsPlayOff","PassingOff","CmpAttOff","YdsPassOff","RushingOff","RushesOff","YdsRushOff","FirstDownOff","PassOff","RushOff","PenaltyOff","PenaltiesOff","YdsOff","TurnoversOff","FumLostOff","IntThrownOff","TotYardsDef","TotPlaysDef","YdsPlayDef","PassingDef","CmpAttDef","YdsPassDef","RushingDef","RushesDef","YdsRushDef","FirstDownDef","PassDef","RushDef","PenaltyDef","PenaltiesDef","YdsDef","TurnoversDef","FumLostDef","IntThrownDef"
"SMETH3","SMETH","TXX","0","56","245","78","3.1","156","16-33","4.7","89","45","2.0","17","8","8","1","6","50","3","2","1","614","81","7.6","349","28-43","8.1","265","38","7.0","31","18","12","1","5","48","0","0","0"
"TXST3","TXST","TLS","37","34","409","80","5.1","228","21-31","7.4","181","49","3.7","21","10","10","1","7","77","0","0","0","434","96","4.5","234","23-40","5.9","200","56","3.6","25","10","13","2","4","34","1","0","1"
"TLS3","TLS","TXST","34","37","434","96","4.5","234","23-40","5.9","200","56","3.6","25","10","13","2","4","34","1","0","1","409","80","5.1","228","21-31","7.4","181","49","3.7","21","10","10","1","7","77","0","0","0"
"CMI4","CMI","TOL","28","42","386","57","6.8","291","24-31","9.4","95","26","3.7","20","13","6","1","3","35","2","1","1","543","72","7.5","339","23-34","10.0","204","38","5.4","29","16","11","2","6","47","2","1","1"
"TOL4","TOL","CMI","42","28","543","72","7.5","339","23-34","10.0","204","38","5.4","29","16","11","2","6","47","2","1","1","386","57","6.8","291","24-31","9.4","95","26","3.7","20","13","6","1","3","35","2","1","1"
"KENT3","KENT","VA","13","45","318","68","4.7","246","17-35","7.0","72","33","2.2","18","13","2","3","7","60","5","2","3","520","77","6.8","266","19-32","8.3","254","45","5.6","27","13","12","2","9","79","3","1","2"
"VA4","VA","KENT","45","13","520","77","6.8","266","19-32","8.3","254","45","5.6","27","13","12","2","9","79","3","1","2","318","68","4.7","246","17-35","7.0","72","33","2.2","18","13","2","3","7","60","5","2","3"
"WMI3","WMI","VATECH","17","35","231","57","4.1","212","18-33","6.4","19","24","0.8","10","6","3","1","7","85","2","1","1","486","79","6.2","178","14-32","5.6","308","47","6.6","26","9","13","4","9","69","2","0","2"
"VATECH4","VATECH","WMI","35","17","486","79","6.2","178","14-32","5.6","308","47","6.6","26","9","13","4","9","69","2","0","2","231","57","4.1","212","18-33","6.4","19","24","0.8","10","6","3","1","7","85","2","1","1"
"WAST4","WAST","UT","28","27","495","86","5.8","417","39-61","6.8","78","25","3.1","27","19","6","2","4","40","3","1","2","357","80","4.5","165","18-40","4.1","192","40","4.8","18","7","10","1","8","78","1","1","0"
"UT3","UT","WAST","27","28","357","80","4.5","165","18-40","4.1","192","40","4.8","18","7","10","1","8","78","1","1","0","495","86","5.8","417","39-61","6.8","78","25","3.1","27","19","6","2","4","40","3","1","2"
"WKY3","WKY","NAVY","36","27","551","88","6.3","387","38-54","7.2","164","34","4.8","30","19","11","0","7","66","1","0","1","467","67","7.0","55","3-15","3.7","412","52","7.9","22","3","19","0","3","25","2","1","1"
"NAVY4","NAVY","WKY","27","36","467","67","7.0","55","3-15","3.7","412","52","7.9","22","3","19","0","3","25","2","1","1","551","88","6.3","387","38-54","7.2","164","34","4.8","30","19","11","0","7","66","1","0","1"
"SFL4","SFL","WI","10","27","245","38","6.4","173","8-19","9.1","72","19","3.8","8","5","3","0","11","90","2","1","1","454","75","6.1","160","11-18","8.9","294","57","5.2","26","8","14","4","4","35","1","1","0"
"WI3","WI","SFL","27","10","454","75","6.1","160","11-18","8.9","294","57","5.2","26","8","14","4","4","35","1","1","0","245","38","6.4","173","8-19","9.1","72","19","3.8","8","5","3","0","11","90","2","1","1"
"ARMY3","ARMY","YALE","43","49","597","74","8.1","211","12-21","10.0","386","53","7.3","23","8","15","0","8","70","0","0","0","625","96","6.5","290","23-40","7.3","335","56","6.0","36","15","19","2","7","40","2","1","1"
"YALE","YALE","ARMY","49","43","625","96","6.5","290","23-40","7.3","335","56","6.0","36","15","19","2","7","40","2","1","1","597","74","8.1","211","12-21","10.0","386","53","7.3","23","8","15","0","8","70","0","0","0"
"AZ4","AZ","OR","31","24","495","86","5.8","287","20-31","9.3","208","55","3.8","29","13","11","5","9","78","2","1","1","446","74","6.0","302","21-33","9.2","144","41","3.5","25","18","4","3","10","79","2","2","0"
"OR4","OR","AZ","24","31","446","74","6.0","302","21-33","9.2","144","41","3.5","25","18","4","3","10","79","2","2","0","495","86","5.8","287","20-31","9.3","208","55","3.8","29","13","11","5","9","78","2","1","1"
"CFL3","CFL","HOU","17","12","228","55","4.1","101","6-18","5.6","127","37","3.4","10","4","6","0","10","90","1","1","0","331","76","4.4","214","22-43","5.0","117","33","3.5","20","7","9","4","11","99","3","1","2"
"HOU4","HOU","CFL","12","17","331","76","4.4","214","22-43","5.0","117","33","3.5","20","7","9","4","11","99","3","1","2","228","55","4.1","101","6-18","5.6","127","37","3.4","10","4","6","0","10","90","1","1","0"
"FLATL5","FLATL","FLINT","10","38","383","72","5.3","225","19-42","5.4","158","30","5.3","22","13","7","2","4","40","4","3","1","345","70","4.9","160","18-29","5.5","185","41","4.5","20","7","13","0","8","51","1","1","0"
"FLINT5","FLINT","FLATL","38","10","345","70","4.9","160","18-29","5.5","185","41","4.5","20","7","13","0","8","51","1","1","0","383","72","5.3","225","19-42","5.4","158","30","5.3","22","13","7","2","4","40","4","3","1"
"SDGST4","SDGST","FREST","13","24","270","69","3.9","84","9-24","3.5","186","45","4.1","17","6","11","0","7","64","3","1","2","315","71","4.4","143","14-28","5.1","172","43","4.0","16","5","7","4","4","37","2","1","1"
"FREST5","FREST","SDGST","24","13","315","71","4.4","143","14-28","5.1","172","43","4.0","16","5","7","4","4","37","2","1","1","270","69","3.9","84","9-24","3.5","186","45","4.1","17","6","11","0","7","64","3","1","2"
"LOU5","LOU","SYR","28","6","352","70","5.0","174","12-22","7.9","178","48","3.7","18","6","11","1","9","75","2","1","1","255","62","4.1","196","17-37","5.3","59","25","2.4","14","7","6","1","7","75","2","0","2"
"SYR4","SYR","LOU","6","28","255","62","4.1","196","17-37","5.3","59","25","2.4","14","7","6","1","7","75","2","0","2","352","70","5.0","174","12-22","7.9","178","48","3.7","18","6","11","1","9","75","2","1","1"
"UTST4","UTST","BYU","35","20","457","71","6.4","321","19-25","12.8","136","46","3.0","22","12","7","3","12","105","1","1","0","425","74","5.7","271","18-40","6.8","154","34","4.5","23","8","12","3","9","60","4","1","3"
"BYU4","BYU","UTST","20","35","425","74","5.7","271","18-40","6.8","154","34","4.5","23","8","12","3","9","60","4","1","3","457","71","6.4","321","19-25","12.8","136","46","3.0","22","12","7","3","12","105","1","1","0"
"NAVY5","NAVY","AF","21","30","393","71","5.5","142","8-16","8.9","251","55","4.6","20","5","12","3","5","55","1","0","1","364","65","5.6","166","12-17","9.8","198","48","4.1","18","5","12","1","6","65","0","0","0"
"AF4","AF","NAVY","30","21","364","65","5.6","166","12-17","9.8","198","48","4.1","18","5","12","1","6","65","0","0","0","393","71","5.5","142","8-16","8.9","251","55","4.6","20","5","12","3","5","55","1","0","1"
"EMI4","EMI","AKR","6","31","279","67","4.2","185","17-30","6.2","94","37","2.5","18","8","8","2","7","60","4","2","2","552","81","6.8","355","33-50","7.1","197","31","6.4","27","17","10","0","15","124","0","0","0"
"AKR4","AKR","EMI","31","6","552","81","6.8","355","33-50","7.1","197","31","6.4","27","17","10","0","15","124","0","0","0","279","67","4.2","185","17-30","6.2","94","37","2.5","18","8","8","2","7","60","4","2","2"
"ALBIRM4","ALBIRM","WKY","42","39","591","89","6.6","300","22-25","12.0","291","64","4.5","32","13","18","1","7","55","3","2","1","503","65","7.7","319","25-37","8.6","184","28","6.6","25","14","9","2","6","50","0","0","0"
"WKY4","WKY","ALBIRM","39","42","503","65","7.7","319","25-37","8.6","184","28","6.6","25","14","9","2","6","50","0","0","0","591","89","6.6","300","22-25","12.0","291","64","4.5","32","13","18","1","7","55","3","2","1"
"AZST4","AZST","SCA","38","34","541","68","8.0","510","27-46","11.1","31","22","1.4","24","19","1","4","5","36","0","0","0","493","95","5.2","273","28-45","6.1","220","50","4.4","28","13","13","2","9","60","0","0","0"
"SCA4","SCA","AZST","34","38","493","95","5.2","273","28-45","6.1","220","50","4.4","28","13","13","2","9","60","0","0","0","541","68","8.0","510","27-46","11.1","31","22","1.4","24","19","1","4","5","36","0","0","0"
"LAMON4","LAMON","ARST","14","28","348","72","4.8","276","27-47","5.9","72","25","2.9","16","12","4","0","8","69","2","2","0","572","87","6.6","284","21-36","7.9","288","51","5.6","29","11","15","3","11","110","3","1","2"
"ARST4","ARST","LAMON","28","14","572","87","6.6","284","21-36","7.9","288","51","5.6","29","11","15","3","11","110","3","1","2","348","72","4.8","276","27-47","5.9","72","25","2.9","16","12","4","0","8","69","2","2","0"
"BALLST4","BALLST","ARMY","24","33","330","51","6.5","173","18-26","6.7","157","25","6.3","15","10","4","1","4","36","2","1","1","473","74","6.4","48","2-5","9.6","425","69","6.2","24","1","21","2","1","15","1","1","0"
"ARMY4","ARMY","BALLST","33","24","473","74","6.4","48","2-5","9.6","425","69","6.2","24","1","21","2","1","15","1","1","0","330","51","6.5","173","18-26","6.7","157","25","6.3","15","10","4","1","4","36","2","1","1"
"LAST5","LAST","AUB","7","41","280","60","4.7","142","8-24","5.9","138","36","3.8","13","3","6","4","5","31","0","0","0","566","74","7.6","268","17-25","10.7","298","49","6.1","25","9","15","1","7","80","1","1","0"
"AUB4","AUB","LAST","41","7","566","74","7.6","268","17-25","10.7","298","49","6.1","25","9","15","1","7","80","1","1","0","280","60","4.7","142","8-24","5.9","138","36","3.8","13","3","6","4","5","31","0","0","0"
"BAY4","BAY","TX","28","7","389","82","4.7","111","7-22","5.0","278","60","4.6","22","5","17","0","10","95","0","0","0","334","74","4.5","144","16-34","4.2","190","40","4.8","20","6","9","5","5","45","3","1","2"
"TX4","TX","BAY","7","28","334","74","4.5","144","16-34","4.2","190","40","4.8","20","6","9","5","5","45","3","1","2","389","82","4.7","111","7-22","5.0","278","60","4.6","22","5","17","0","10","95","0","0","0"
"BOISE5","BOISE","NV","51","46","570","79","7.2","346","26-31","11.2","224","48","4.7","25","17","6","2","5","63","3","2","1","462","73","6.3","306","23-43","7.1","156","30","5.2","24","15","6","3","3","22","4","0","4"
"NV4","NV","BOISE","46","51","462","73","6.3","306","23-43","7.1","156","30","5.2","24","15","6","3","3","22","4","0","4","570","79","7.2","346","26-31","11.2","224","48","4.7","25","17","6","2","5","63","3","2","1"
"BUF5","BUF","BGSU","35","36","368","71","5.2","134","16-24","5.6","234","47","5.0","23","9","11","3","6","70","1","0","1","508","76","6.7","321","20-39","8.2","187","37","5.1","26","11","11","4","11","82","3","2","1"
"BGSU5","BGSU","BUF","36","35","508","76","6.7","321","20-39","8.2","187","37","5.1","26","11","11","4","11","82","3","2","1","368","71","5.2","134","16-24","5.6","234","47","5.0","23","9","11","3","6","70","1","0","1"
"CA4","CA","WAST","60","59","589","71","8.3","527","37-53","9.9","62","18","3.4","27","19","5","3","8","34","0","0","0","812","95","8.5","734","49-70","10.5","78","25","3.1","33","26","4","3","12","121","0","0","0"
"WAST5","WAST","CA","59","60","812","95","8.5","734","49-70","10.5","78","25","3.1","33","26","4","3","12","121","0","0","0","589","71","8.3","527","37-53","9.9","62","18","3.4","27","19","5","3","8","34","0","0","0"
"OH5","OH","CMI","10","28","187","44","4.3","98","7-21","4.7","89","23","3.9","8","4","3","1","2","18","0","0","0","467","79","5.9","233","17-27","8.6","234","52","4.5","25","8","16","1","7","62","1","1","0"
"CMI5","CMI","OH","28","10","467","79","5.9","233","17-27","8.6","234","52","4.5","25","8","16","1","7","62","1","1","0","187","44","4.3","98","7-21","4.7","89","23","3.9","8","4","3","1","2","18","0","0","0"
"NCST5","NCST","CLEM","0","41","156","57","2.7","35","4-19","1.8","121","38","3.2","12","1","8","3","5","45","3","3","0","493","80","6.2","267","17-30","8.9","226","50","4.5","25","11","13","1","9","103","0","0","0"
"CLEM4","CLEM","NCST","41","0","493","80","6.2","267","17-30","8.9","226","50","4.5","25","11","13","1","9","103","0","0","0","156","57","2.7","35","4-19","1.8","121","38","3.2","12","1","8","3","5","45","3","3","0"
"TLS4","TLS","COST","17","42","390","80","4.9","263","18-35","7.5","127","45","2.8","19","9","8","2","4","30","3","1","2","532","57","9.3","298","16-26","11.5","234","31","7.5","17","6","10","1","7","74","2","1","1"
"COST4","COST","TLS","42","17","532","57","9.3","298","16-26","11.5","234","31","7.5","17","6","10","1","7","74","2","1","1","390","80","4.9","263","18-35","7.5","127","45","2.8","19","9","8","2","4","30","3","1","2"
"SMETH4","SMETH","ECAR","24","45","390","85","4.6","339","42-67","5.1","51","18","2.8","25","19","3","3","2","15","1","0","1","581","74","7.9","410","31-41","10.0","171","33","5.2","30","20","10","0","5","53","1","1","0"
"ECAR4","ECAR","SMETH","45","24","581","74","7.9","410","31-41","10.0","171","33","5.2","30","20","10","0","5","53","1","1","0","390","85","4.6","339","42-67","5.1","51","18","2.8","25","19","3","3","2","15","1","0","1"
"FL3","FL","TN","10","9","232","75","3.1","76","13-27","2.8","156","48","3.3","16","5","11","0","5","45","3","0","3","233","68","3.4","205","26-39","5.3","28","29","1.0","12","10","2","0","8","49","3","1","2"
"TN4","TN","FL","9","10","233","68","3.4","205","26-39","5.3","28","29","1.0","12","10","2","0","8","49","3","1","2","232","75","3.1","76","13-27","2.8","156","48","3.3","16","5","11","0","5","45","3","0","3"
"WAKE5","WAKE","FLST","3","43","126","61","2.1","86","13-22","3.9","40","39","1.0","10","4","4","2","7","62","3","2","1","475","74","6.4","304","24-41","7.4","171","33","5.2","23","12","9","2","5","48","2","1","1"
"FLST4","FLST","WAKE","43","3","475","74","6.4","304","24-41","7.4","171","33","5.2","23","12","9","2","5","48","2","1","1","126","61","2.1","86","13-22","3.9","40","39","1.0","10","4","4","2","7","62","3","2","1"
"VAND5","VAND","GA","17","44","320","67","4.8","188","16-31","6.1","132","36","3.7","15","7","8","0","4","29","1","0","1","445","57","7.8","202","14-22","9.2","243","35","6.9","20","7","12","1","2","12","1","0","1"
"GA4","GA","VAND","44","17","445","57","7.8","202","14-22","9.2","243","35","6.9","20","7","12","1","2","12","1","0","1","320","67","4.8","188","16-31","6.1","132","36","3.7","15","7","8","0","4","29","1","0","1"
"GAS3","GAS","NMST","36","28","423","74","5.7","18","3-13","1.4","405","61","6.6","22","0","21","1","4","39","1","1","0","517","92","5.6","334","35-50","6.7","183","42","4.4","30","16","13","1","2","10","4","1","3"
"NMST5","NMST","GAS","28","36","517","92","5.6","334","35-50","6.7","183","42","4.4","30","16","13","1","2","10","4","1","3","423","74","5.7","18","3-13","1.4","405","61","6.6","22","0","21","1","4","39","1","1","0"
"MIAFL5","MIAFL","GATECH","17","28","352","44","8.0","245","16-25","9.8","107","19","5.6","19","11","6","2","5","38","2","0","2","371","72","5.2","53","4-7","7.6","318","65","4.9","21","2","18","1","7","69","0","0","0"
"GATECH4","GATECH","MIAFL","28","17","371","72","5.2","53","4-7","7.6","318","65","4.9","21","2","18","1","7","69","0","0","0","352","44","8.0","245","16-25","9.8","107","19","5.6","19","11","6","2","5","38","2","0","2"
"NTX4","NTX","IN","24","49","348","69","5.0","205","18-34","6.0","143","35","4.1","22","9","12","1","2","10","2","0","2","593","73","8.1","230","23-29","7.9","363","44","8.3","22","6","16","0","6","55","1","1","0"
"IN4","IN","NTX","49","24","593","73","8.1","230","23-29","7.9","363","44","8.3","22","6","16","0","6","55","1","1","0","348","69","5.0","205","18-34","6.0","143","35","4.1","22","9","12","1","2","10","2","0","2"
"TXTECH4","TXTECH","KSST","13","45","347","64","5.4","301","27-50","6.0","46","14","3.3","20","16","4","0","9","89","4","0","4","535","81","6.6","290","24-31","9.4","245","50","4.9","29","13","12","4","1","15","1","1","0"
"KSST4","KSST","TXTECH","45","13","535","81","6.6","290","24-31","9.4","245","50","4.9","29","13","12","4","1","15","1","1","0","347","64","5.4","301","27-50","6.0","46","14","3.3","20","16","4","0","9","89","4","0","4"
"SC5","SC","KY","38","45","500","85","5.9","218","23-37","5.9","282","48","5.9","32","13","16","3","4","35","3","0","3","447","66","6.8","208","20-30","6.9","239","36","6.6","22","9","12","1","8","80","1","1","0"
"KY4","KY","SC","45","38","447","66","6.8","208","20-30","6.9","239","36","6.6","22","9","12","1","8","80","1","1","0","500","85","5.9","218","23-37","5.9","282","48","5.9","32","13","16","3","4","35","3","0","3"
"TXEP4","TXEP","LATECH","3","54","224","64","3.5","143","15-28","5.1","81","36","2.3","12","6","5","1","5","22","5","2","3","443","60","7.4","187","7-17","11.0","256","43","6.0","19","7","12","0","4","35","2","1","1"
"LATECH5","LATECH","TXEP","54","3","443","60","7.4","187","7-17","11.0","256","43","6.0","19","7","12","0","4","35","2","1","1","224","64","3.5","143","15-28","5.1","81","36","2.3","12","6","5","1","5","22","5","2","3"
"GAST4","GAST","LALAF","31","34","425","68","6.3","287","20-31","9.3","138","37","3.7","24","12","6","6","10","79","0","0","0","461","63","7.3","266","24-31","8.6","195","32","6.1","21","12","9","0","13","115","0","0","0"
"LALAF4","LALAF","GAST","34","31","461","63","7.3","266","24-31","8.6","195","32","6.1","21","12","9","0","13","115","0","0","0","425","68","6.3","287","20-31","9.3","138","37","3.7","24","12","6","6","10","79","0","0","0"
"MARSH4","MARSH","OD","55","14","591","77","7.7","237","21-27","8.8","354","50","7.1","28","13","15","0","6","54","3","1","2","286","67","4.3","85","10-25","3.4","201","42","4.8","15","4","10","1","1","9","1","0","1"
"OD4","OD","MARSH","14","55","286","67","4.3","85","10-25","3.4","201","42","4.8","15","4","10","1","1","9","1","0","1","591","77","7.7","237","21-27","8.8","354","50","7.1","28","13","15","0","6","54","3","1","2"
"MEM4","MEM","CIN","41","14","610","94","6.5","311","18-25","12.4","299","69","4.3","30","14","16","0","8","72","0","0","0","352","65","5.4","255","16-40","6.4","97","25","3.9","19","13","4","2","6","55","2","1","1"
"CIN3","CIN","MEM","14","41","352","65","5.4","255","16-40","6.4","97","25","3.9","19","13","4","2","6","55","2","1","1","610","94","6.5","311","18-25","12.4","299","69","4.3","30","14","16","0","8","72","0","0","0"
"MA5","MA","MIAOH","41","42","554","96","5.8","389","35-62","6.3","165","34","4.9","32","17","9","6","7","60","4","2","2","557","85","6.6","437","32-58","7.5","120","27","4.4","31","23","6","2","10","95","1","1","0"
"MIAOH5","MIAOH","MA","42","41","557","85","6.6","437","32-58","7.5","120","27","4.4","31","23","6","2","10","95","1","1","0","554","96","5.8","389","35-62","6.3","165","34","4.9","32","17","9","6","7","60","4","2","2"
"NE5","NE","MIST","22","27","329","82","4.0","282","21-45","6.3","47","37","1.3","20","12","5","3","6","48","4","2","2","422","73","5.8","234","11-29","8.1","188","44","4.3","17","8","9","0","9","94","3","2","1"
"MIST4","MIST","NE","27","22","422","73","5.8","234","11-29","8.1","188","44","4.3","17","8","9","0","9","94","3","2","1","329","82","4.0","282","21-45","6.3","47","37","1.3","20","12","5","3","6","48","4","2","2"
"SMS5","SMS","MIDTN","31","37","537","89","6.0","426","36-55","7.7","111","34","3.3","30","23","7","0","6","48","2","1","1","583","66","8.8","344","22-27","12.7","239","39","6.1","22","13","9","0","6","49","1","1","0"
"MIDTN5","MIDTN","SMS","37","31","583","66","8.8","344","22-27","12.7","239","39","6.1","22","13","9","0","6","49","1","1","0","537","89","6.0","426","36-55","7.7","111","34","3.3","30","23","7","0","6","48","2","1","1"
"AL4","AL","MS","17","23","396","75","5.3","228","19-31","7.4","168","44","3.8","20","13","7","0","8","52","2","1","1","323","63","5.1","251","18-31","8.1","72","32","2.3","16","12","4","0","3","25","1","1","0"
"MS4","MS","AL","23","17","323","63","5.1","251","18-31","8.1","72","32","2.3","16","12","4","0","3","25","1","1","0","396","75","5.3","228","19-31","7.4","168","44","3.8","20","13","7","0","8","52","2","1","1"
"TXAM5","TXAM","MSST","31","48","526","93","5.7","365","37-62","5.9","161","31","5.2","28","17","10","1","5","38","3","0","3","559","77","7.3","270","20-26","10.4","289","51","5.7","26","12","12","2","3","20","2","2","0"
"MSST4","MSST","TXAM","48","31","559","77","7.3","270","20-26","10.4","289","51","5.7","26","12","12","2","3","20","2","2","0","526","93","5.7","365","37-62","5.9","161","31","5.2","28","17","10","1","5","38","3","0","3"
"NM4","NM","TXSA","21","9","370","62","6.0","87","9-14","6.2","283","48","5.9","15","4","10","1","2","30","0","0","0","341","62","5.5","229","14-24","9.5","112","38","2.9","18","10","7","1","4","35","2","0","2"
"TXSA4","TXSA","NM","9","21","341","62","5.5","229","14-24","9.5","112","38","2.9","18","10","7","1","4","35","2","0","2","370","62","6.0","87","9-14","6.2","283","48","5.9","15","4","10","1","2","30","0","0","0"
"KENT4","KENT","NIL","14","13","327","75","4.4","244","20-38","6.4","83","37","2.2","22","12","7","3","3","27","0","0","0","379","64","5.9","198","15-25","7.9","181","39","4.6","15","5","8","2","9","81","1","0","1"
"NIL4","NIL","KENT","13","14","379","64","5.9","198","15-25","7.9","181","39","4.6","15","5","8","2","9","81","1","0","1","327","75","4.4","244","20-38","6.4","83","37","2.2","22","12","7","3","3","27","0","0","0"
"WI4","WI","NWEST","14","20","422","66","6.4","138","12-29","4.8","284","37","7.7","19","6","13","0","6","49","4","0","4","385","75","5.1","182","15-29","6.3","203","46","4.4","22","11","10","1","4","20","0","0","0"
"NWEST4","NWEST","WI","20","14","385","75","5.1","182","15-29","6.3","203","46","4.4","22","11","10","1","4","20","0","0","0","422","66","6.4","138","12-29","4.8","284","37","7.7","19","6","13","0","6","49","4","0","4"
"STAN4","STAN","NDAME","14","17","205","68","3.0","158","18-36","4.4","47","32","1.5","14","10","4","0","9","66","2","0","2","370","75","4.9","241","20-43","5.6","129","32","4.0","21","13","5","3","1","10","2","1","1"
"NDAME4","NDAME","STAN","17","14","370","75","4.9","241","20-43","5.6","129","32","4.0","21","13","5","3","1","10","2","1","1","205","68","3.0","158","18-36","4.4","47","32","1.5","14","10","4","0","9","66","2","0","2"
"OHST4","OHST","MD","52","24","533","77","6.9","264","19-24","11.0","269","53","5.1","26","10","15","1","7","66","0","0","0","310","64","4.8","244","24-40","6.1","66","24","2.8","17","8","6","3","2","23","4","0","4"
"MD5","MD","OHST","24","52","310","64","4.8","244","24-40","6.1","66","24","2.8","17","8","6","3","2","23","4","0","4","533","77","6.9","264","19-24","11.0","269","53","5.1","26","10","15","1","7","66","0","0","0"
"IAST4","IAST","OKST","20","37","322","72","4.5","200","17-39","5.1","122","33","3.7","17","8","8","1","3","45","0","0","0","400","83","4.8","271","26-41","6.6","129","42","3.1","25","12","10","3","7","40","2","0","2"
"OKST4","OKST","IAST","37","20","400","83","4.8","271","26-41","6.6","129","42","3.1","25","12","10","3","7","40","2","0","2","322","72","4.5","200","17-39","5.1","122","33","3.7","17","8","8","1","3","45","0","0","0"
"ORST4","ORST","CO","36","31","445","69","6.4","278","27-37","7.5","167","32","5.2","22","13","7","2","5","42","0","0","0","431","77","5.6","308","32-49","6.3","123","28","4.4","25","14","9","2","6","67","1","0","1"
"CO5","CO","ORST","31","36","431","77","5.6","308","32-49","6.3","123","28","4.4","25","14","9","2","6","67","1","0","1","445","69","6.4","278","27-37","7.5","167","32","5.2","22","13","7","2","5","42","0","0","0"
"PUR5","PUR","IL","38","27","551","65","8.5","202","15-20","10.1","349","45","7.8","19","8","10","1","6","64","0","0","0","515","78","6.6","450","36-53","8.5","65","25","2.6","26","16","6","4","2","20","2","1","1"
"IL5","IL","PUR","27","38","515","78","6.6","450","36-53","8.5","65","25","2.6","26","16","6","4","2","20","2","1","1","551","65","8.5","202","15-20","10.1","349","45","7.8","19","8","10","1","6","64","0","0","0"
"HI4","HI","RICE","14","28","261","72","3.6","117","12-27","4.3","144","45","3.2","17","4","11","2","5","40","2","1","1","391","67","5.8","248","10-23","10.8","143","44","3.3","17","7","9","1","3","40","3","2","1"
"RICE4","RICE","HI","28","14","391","67","5.8","248","10-23","10.8","143","44","3.3","17","7","9","1","3","40","3","2","1","261","72","3.6","117","12-27","4.3","144","45","3.2","17","4","11","2","5","40","2","1","1"
"MI5","MI","RUT","24","26","336","57","5.9","178","13-22","8.1","158","35","4.5","18","8","7","3","3","30","1","0","1","476","70","6.8","402","23-40","10.1","74","30","2.5","18","13","5","0","9","85","0","0","0"
"RUT5","RUT","MI","26","24","476","70","6.8","402","23-40","10.1","74","30","2.5","18","13","5","0","9","85","0","0","0","336","57","5.9","178","13-22","8.1","158","35","4.5","18","8","7","3","3","30","1","0","1"
"NVLV5","NVLV","SJST","10","33","221","59","3.7","116","11-28","4.1","105","31","3.4","12","5","6","1","3","15","2","1","1","542","86","6.3","265","20-30","8.8","277","56","4.9","23","11","12","0","4","45","1","1","0"
"SJST4","SJST","NVLV","33","10","542","86","6.3","265","20-30","8.8","277","56","4.9","23","11","12","0","4","45","1","1","0","221","59","3.7","116","11-28","4.1","105","31","3.4","12","5","6","1","3","15","2","1","1"
"SAL4","SAL","APPST","47","21","582","74","7.9","339","19-28","12.1","243","46","5.3","28","16","12","0","10","124","0","0","0","394","74","5.3","191","20-36","5.3","203","38","5.3","25","9","9","7","8","77","3","2","1"
"APPST2","APPST","SAL","21","47","394","74","5.3","191","20-36","5.3","203","38","5.3","25","9","9","7","8","77","3","2","1","582","74","7.9","339","19-28","12.1","243","46","5.3","28","16","12","0","10","124","0","0","0"
"OK4","OK","TXX","31","37","461","78","5.9","309","14-36","8.6","152","42","3.6","19","8","10","1","7","73","2","0","2","469","78","6.0","318","20-39","8.2","151","39","3.9","23","12","8","3","12","90","3","2","1"
"TXX3","TXX","OK","37","31","469","78","6.0","318","20-39","8.2","151","39","3.9","23","12","8","3","12","90","3","2","1","461","78","5.9","309","14-36","8.6","152","42","3.6","19","8","10","1","7","73","2","0","2"
"ID4","ID","TXST","30","35","523","105","5.0","347","33-52","6.7","176","53","3.3","33","18","13","2","4","35","2","0","2","466","58","8.0","76","11-20","3.8","390","38","10.3","14","2","12","0","3","18","4","2","2"
"TXST4","TXST","ID","35","30","466","58","8.0","76","11-20","3.8","390","38","10.3","14","2","12","0","3","18","4","2","2","523","105","5.0","347","33-52","6.7","176","53","3.3","33","18","13","2","4","35","2","0","2"
"TOL5","TOL","WMI","20","19","444","63","7.0","210","13-27","7.8","234","36","6.5","19","10","9","0","4","26","3","2","1","450","70","6.4","388","31-38","10.2","62","32","1.9","20","16","4","0","3","30","0","0","0"
"WMI4","WMI","TOL","19","20","450","70","6.4","388","31-38","10.2","62","32","1.9","20","16","4","0","3","30","0","0","0","444","63","7.0","210","13-27","7.8","234","36","6.5","19","10","9","0","4","26","3","2","1"
"UT4","UT","UCLA","30","28","342","73","4.7","100","12-18","5.6","242","55","4.4","18","3","14","1","4","40","0","0","0","406","72","5.6","269","16-22","12.2","137","50","2.7","24","9","12","3","3","29","1","0","1"
"UCLA4","UCLA","UT","28","30","406","72","5.6","269","16-22","12.2","137","50","2.7","24","9","12","3","3","29","1","0","1","342","73","4.7","100","12-18","5.6","242","55","4.4","18","3","14","1","4","40","0","0","0"
"PITT5","PITT","VA","19","24","311","65","4.8","195","16-30","6.5","116","35","3.3","19","9","8","2","10","75","1","0","1","346","60","5.8","121","10-17","7.1","225","43","5.2","18","5","11","2","6","65","1","0","1"
"VA5","VA","PITT","24","19","346","60","5.8","121","10-17","7.1","225","43","5.2","18","5","11","2","6","65","1","0","1","311","65","4.8","195","16-30","6.5","116","35","3.3","19","9","8","2","10","75","1","0","1"
